aja_teenija;aja_teenija;;21300
müüja;müüja;;21300
aja_teenija;aja_teenija;;21300
uurija;uurija;;21300
ase_täitja;ase_täitja;;21300
pressi_esindaja;pressi_esindaja;;21300
esindaja;esindaja;;21300
julge_oleku_esindaja;julgeoleku_esindaja;;21300
esindaja;esindaja;;21300
liituja;liituja;;21300
liituja;liituja;;21300
liituja;liituja;;21300
pressi_esindaja;pressi_esindaja;;21300
pressi_esindaja;pressi_esindaja;;21300
pressi_esindaja;pressi_esindaja;;21300
pääste_töötaja;pääste_töötaja;;21300
pääste_töötaja;pääste_töötaja;;21300
võitja;võitja;;21300
saaja;saaja;;21300
võitja;võitja;;21300
looja;looja;;21300
leiutaja;leiutaja;;21300
võitleja;võitleja;;21300
võitleja;võitleja;;21300
politsei_töötaja;politsei_töötaja;;21300
uimasti_kaubitseja;uimasti_kaubitseja;;21300
korra_kaitsja;korra_kaitsja;;21300
ostja;ostja;;21300
ostja;ostja;;21300
ase_juhataja;ase_juhataja;;21300
külastaja;külastaja;;21300
gaasi_mõõtja;gaasi_mõõtja;;21300
asja_tundja;asja_tundja;;21300
esindaja;esindaja;;21300
ette_võtja;ette_võtja;;21300
pääste_töötaja;pääste_töötaja;;21300
pisi_kurja_tegija;pisi_kurja_tegeja;tegelt i;21300
vaatleja;vaatleja;;21300
pressi_esindaja;pressi_esindaja;;21300
pressi_esindaja;pressi_esindaja;;21300
pürgija;pürgija;;21300
leiva_tootja;leiva_tootja;;21300
ostja;ostja;;21300
nisu_kasvataja;nisu_kasvataja;;21300
tootja;tootja;;21300
leiva_tootja;leiva_tootja;;21300
pea_toimetaja;pea_toimetaja;;21300
tegija;tegeja;tegelt i;21300
heli_looja;heli_looja;;21300
tegija;tegeja;tegelt i;21300
tegija;tegeja;tegelt i;21300
võitja;võitja;;21300
kaotaja;kaotaja;;21300
müüja;müüja;;42600
pressi_esindaja;pressi_esindaja;;42600
uurija;uurija;;42600
maksu_maksja;maksu_maksja;;42600
tarnija;tarnija;;42600
töö_võtja;töö_võtja;;42600
tarbija;tarbija;;42600
tellija;tellija;;42600
tarbija;tarbija;;42600
