sündimine;sündimine;;42600
vastamine;vastamine;;42600
pakkumine;pakkumine;;42600
sündimine;sündimine;;42600
kaitsmine;kaitsmine;;42600
läbi_viimine;läbi_viimine;;42600
vallutamine;vallutamine;;42600
loobumine;loobumine;;42600
läbi_viimine;läbi_viimine;;42600
lüiasaamine;lüia_saamine;;42600
helistamine;helistamine;;42600
andmine;andmine;;42600
kuuletumine;kuuletumine;;42600
kuuletumine;kuuletumine;;42600
otsustamine;otsustamine;;42600
vallutamine;vallutamine;;42600
võrdlemine;võrdlemine;;42600
teadmine;teadmine;;42600
vallutamine;vallutamine;;42600
helistamine;helistamine;;42600
vallutamine;vallutamine;;42600
vallutamine;vallutamine;;42600
uurimine;uurimine;;42600
aitamine;aitamine;;42600
tegemine;tegemine;;42600
lainetamine;lainetamine;;42600
mõtlemine;mõtlemine;;42600
abi_ellumine;abiellumine;;42600
kaitsmine;kaitsmine;;42600
tahtmine;tahtmine;;42600
müristamine;müristamine;;42600
müristamine;müristamine;;42600
müristamine;müristamine;;42600
müristamine;müristamine;;42600
ostmine;ostmine;;42600
ehitamine;ehitamine;;42600
tahtmine;tahtmine;;42600
unistamine;unistamine;;42600
söömine;söömine;;42600
joomine;joomine;;42600
õlle_joomine;õlle_joomine;;42600
võtmine;võtmine;;42600
veetmine;veetmine;;42600
vaatamine;vaatamine;;42600
nautimine;nautimine;;42600
teadmine;teadmine;;42600
haigestumine;haigestumine;;42600
söömine;söömine;;42600
astumine;astumine;;42600
ähkimine;ähkimine;;42600
sajatamine;sajatamine;;42600
pardi_laskmine;pardi_laskmine;;42600
hankimine;hankimine;;42600
prääksumine;prääksumine;;42600
prääksumine;prääksumine;;42600
teadmine;teadmine;;42600
ammumine;ammumine;;42600
välja_nägemine;välja_nägemine;;42600
päevitamine;päevitamine;;42600
suitsetamine;suitsetamine;;42600
hingamine;hingamine;;42600
tegemine;tegemine;;42600
ronimine;ronimine;;42600
käimine;käimine;;42600
mõistmine;mõistmine;;42600
rahva_valgustamine;rahva_valgustamine;;42600
rahva_valgustamine;rahva_valgustamine;;42600
rahva_valgustamine;rahva_valgustamine;;42600
augu_kaevamine;augu_kaevamine;;42600
olemine;olemine;;42600
söömine;söömine;;42600
laulu_loomine;laulu_loomine;;42600
mõtlemine;mõtlemine;;42600
maja_pidamine;maja_pidamine;;42600
viimine;viimine;;42600
müümine;müümine;;42600
tegemine;tegemine;;42600
olemine;olemine;;42600
toimetamine;toimetamine;;42600
maja_ehitamine;maja_ehitamine;;42600
vaatamine;vaatamine;;42600
alla_jäämine;alla_jäämine;;42600
registreerimine;registreerimine;;42600
ilmumine;ilmumine;;42600
alla_ajamine;alla_ajamine;;42600
alla_ajamine;alla_ajamine;;42600
riivamine;riivamine;;42600
alla_ajamine;alla_ajamine;;42600
eba_õnnestumine;ebaõnnestumine;;42600
petmine;petmine;;42600
viibimine;viibimine;;42600
varjamine;varjamine;;42600
peki_raiskamine;peki_raiskamine;;42600
koos_istumine;koos_istumine;;42600
sündimine;sündimine;;42600
valmistumine;valmistumine;;42600
sünnitamine;sünnitamine;;42600
sünnitamine;sünnitamine;;42600
sünnitamine;sünnitamine;;42600
vaatamine;vaatamine;;42600
uppumine;uppumine;;42600
väljumine;väljumine;;42600
hilinemine;hilinemine;;42600
välja_andmine;välja_andmine;;42600
seismine;seismine;;42600
lammutamine;lammutamine;;42600
virisemine;virisemine;;42600
sõja_pidamine;sõja_pidamine;;42600
hädaldamine;hädaldamine;;42600
praalimine;praalimine;;42600
kohtumine;kohtumine;;42600
nalja_tegemine;nalja_tegemine;;42600
kidumine;kidumine;;42600
kurtmine;kurtmine;;42600
tahtmine;tahtmine;;42600
samagonni_ajamine;samagonni_ajamine;;42600
laskmine;laskmine;;42600
kadumine;kadumine;;42600
avamine;avamine;;42600
sinna_minemine;sinna_minemine;;42600
kirjeldamine;kirjeldamine;;42600
kirjutamine;kirjutamine;;42600
lonkimine;lonkimine;;42600
vibu_laskmine;vibu_laskmine;;42600
jutu_ajamine;jutu_ajamine;;42600
järele_mõtlemine;järele_mõtlemine;;42600
lüpsmine;lüpsmine;;42600
ilma_jäämine;ilma_jäämine;;42600
söömine;söömine;;42600
einetamine;einetamine;;42600
istumine;istumine;;42600
koolis_käimine;koolis_käimine;;42600
rehkendamine;rehkendamine;;42600
lugemine;lugemine;;42600
kirjutamine;kirjutamine;;42600
pensioni_saamine;pensioni_saamine;;42600
joomine;joomine;;42600
välja_vaatamine;välja_vaatamine;;42600
tahtmine;tahtmine;;42600
õmblemine;õmblemine;;42600
teod_tegemine;teod_tegemine;;42600
solvamine;solvamine;;42600
üles_koukimine;üles_koukimine;;42600
ütlemine;ütlemine;;42600
kostitamine;kostitamine;;42600
raha_laenamine;raha_laenamine;;42600
ära_ütlemine;ära_ütlemine;;42600
rahva_kogunemine;rahva_kogunemine;;42600
andmine;andmine;;42600
kiikumine;kiikumine;;42600
põletamine;põletamine;;42600
nägemine;nägemine;;42600
väetise_külvamine;väetise_külvamine;;42600
puudumine;puudumine;;42600
kuhja_tegemine;kuhja_tegemine;;42600
meeldimine;meeldimine;;42600
pidamine;pidamine;;42600
romaani_kirjutamine;romaani_kirjutamine;;42600
elamine;elamine;;42600
kirjutamine;kirjutamine;;42600
kirjutamine;kirjutamine;;42600
kirjutamine;kirjutamine;;42600
saagimine;saagimine;;42600
avamine;avamine;;42600
puu_lõhkumine;puu_lõhkumine;;42600
tegemine;tegemine;;42600
kartuli_koristamine;kartuli_koristamine;;42600
sõnniku_vedamine;sõnniku_vedamine;;42600
meenumine;meenumine;;42600
asumine;asumine;;42600
kasvatamine;kasvatamine;;42600
vaikimine;vaikimine;;42600
vaikimine;vaikimine;;42600
puudumine;puudumine;;42600
päästmine;päästmine;;42600
poomine;poomine;;42600
läbi_vaatamine;läbi_vaatamine;;42600
olemine;olemine;;42600
puudumine;puudumine;;42600
teadmine;teadmine;;42600
vaatamine;vaatamine;;42600
saamine;saamine;;42600
elamine;elamine;;42600
undamine;undamine;;42600
jälle_nägemine;jälle_nägemine;;42600
raha_lugemine;raha_lugemine;;42600
soetamine;soetamine;;42600
mõistmine;mõistmine;;42600
maalimine;maalimine;;42600
maalimine;maalimine;;42600
kuulamine;kuulamine;;42600
puu_saagimine;puu_saagimine;;42600
kasutamine;kasutamine;;42600
ümber_paigutamine;ümber_paigutamine;;42600
kasutamine;kasutamine;;42600
ajastamine;ajastamine;;63900
vahetamine;vahetamine;;63900
olemine;olemine;;63900
liialdamine;liialdamine;;63900
üles_ärkamine;üles_ärkamine;;63900
nägemine;nägemine;;63900
vahetamine;vahetamine;;63900
karpi_kogumine;karpi_kogumine;;63900
panemine;panemine;;63900
mõnitamine;mõnitamine;;63900
liikumine;liikumine;;63900
ära_ütlemine;ära_ütlemine;;63900
vaatamine;vaatamine;;63900
saamine;saamine;;63900
palkamine;palkamine;;63900
väljumine;väljumine;;63900
kühveldamine;kühveldamine;;63900
täitmine;täitmine;;63900
aklimatiseerumine;aklimatiseerumine;;63900
kasutamine;kasutamine;;63900
liigutamine;liigutamine;;63900
paigutamine;paigutamine;;63900
investeerimine;investeerimine;;63900
liigutamine;liigutamine;;63900
saamine;saamine;;63900
teadmine;teadmine;;63900
teadmine;teadmine;;63900
tahtmine;tahtmine;;63900
hüppamine;hüppamine;;63900
tegemine;tegemine;;63900
siirdamine;siirdamine;;63900
kokku_puutumine;kokku_puutumine;;63900
ärkamine;ärkamine;;63900
siirdamine;siirdamine;;63900
siirdamine;siirdamine;;63900
kohtumine;kohtumine;;63900
ootamine;ootamine;;63900
kohtumine;kohtumine;;63900
sõlmimine;sõlmimine;;63900
kaetamine;kaetamine;;63900
kaetamine;kaetamine;;63900
õppimine;õppimine;;63900
korraldamine;korraldamine;;63900
tahtmine;tahtmine;;63900
seletamine;seletamine;;63900
tahtmine;tahtmine;;63900
tähistamine;tähistamine;;63900
mainimine;mainimine;;63900
sündimine;sündimine;;63900
sündimine;sündimine;;63900
vastamine;vastamine;;63900
pakkumine;pakkumine;;63900
sündimine;sündimine;;63900
kaitsmine;kaitsmine;;63900
